Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,60,0
01:00 - 02:00,0,31
02:00 - 03:00,0,75
03:00 - 04:00,0,120
04:00 - 05:00,0,132
05:00 - 06:00,0,181
06:00 - 07:00,0,258
07:00 - 08:00,0,55
08:00 - 09:00,0,22
09:00 - 10:00,3,0
10:00 - 11:00,19,0
11:00 - 12:00,35,0
12:00 - 13:00,174,0
13:00 - 14:00,258,0
14:00 - 15:00,283,0
15:00 - 16:00,267,0
16:00 - 17:00,274,0
17:00 - 18:00,195,0
18:00 - 19:00,147,0
19:00 - 20:00,71,0
20:00 - 21:00,0,29
21:00 - 22:00,0,64
22:00 - 23:00,0,15
23:00 - 00:00,0,132
