Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,164
01:00 - 02:00,0,12
02:00 - 03:00,31,0
03:00 - 04:00,41,0
04:00 - 05:00,68,0
05:00 - 06:00,118,0
06:00 - 07:00,217,0
07:00 - 08:00,16,0
08:00 - 09:00,0,110
09:00 - 10:00,0,84
10:00 - 11:00,0,72
11:00 - 12:00,0,53
12:00 - 13:00,0,121
13:00 - 14:00,0,158
14:00 - 15:00,0,170
15:00 - 16:00,0,179
16:00 - 17:00,0,109
17:00 - 18:00,34,0
18:00 - 19:00,292,0
19:00 - 20:00,431,0
20:00 - 21:00,345,0
21:00 - 22:00,232,0
22:00 - 23:00,327,0
23:00 - 00:00,75,0
