Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,381,0
01:00 - 02:00,386,0
02:00 - 03:00,412,0
03:00 - 04:00,445,0
04:00 - 05:00,453,0
05:00 - 06:00,457,0
06:00 - 07:00,432,0
07:00 - 08:00,426,0
08:00 - 09:00,318,0
09:00 - 10:00,47,0
10:00 - 11:00,0,66
11:00 - 12:00,18,0
12:00 - 13:00,0,100
13:00 - 14:00,0,31
14:00 - 15:00,0,82
15:00 - 16:00,0,79
16:00 - 17:00,35,0
17:00 - 18:00,280,0
18:00 - 19:00,282,0
19:00 - 20:00,335,0
20:00 - 21:00,370,0
21:00 - 22:00,429,0
22:00 - 23:00,401,0
23:00 - 00:00,418,0
