Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,0,28
00:15 - 00:30,0,24
00:30 - 00:45,0,20
00:45 - 01:00,0,23
01:00 - 01:15,0,30
01:15 - 01:30,0,34
01:30 - 01:45,0,35
01:45 - 02:00,0,33
02:00 - 02:15,0,40
02:15 - 02:30,0,35
02:30 - 02:45,0,34
02:45 - 03:00,0,32
03:00 - 03:15,0,35
03:15 - 03:30,0,38
03:30 - 03:45,0,39
03:45 - 04:00,0,39
04:00 - 04:15,0,44
04:15 - 04:30,0,43
04:30 - 04:45,0,43
04:45 - 05:00,0,43
05:00 - 05:15,0,41
05:15 - 05:30,0,37
05:30 - 05:45,0,36
05:45 - 06:00,0,42
06:00 - 06:15,0,40
06:15 - 06:30,0,45
06:30 - 06:45,0,44
06:45 - 07:00,0,39
07:00 - 07:15,0,9
07:15 - 07:30,0,11
07:30 - 07:45,1,0
07:45 - 08:00,11,0
08:00 - 08:15,0,0
08:15 - 08:30,0,2
08:30 - 08:45,0,0
08:45 - 09:00,1,0
09:00 - 09:15,0,23
09:15 - 09:30,0,21
09:30 - 09:45,0,9
09:45 - 10:00,0,4
10:00 - 10:15,0,26
10:15 - 10:30,0,32
10:30 - 10:45,0,22
10:45 - 11:00,0,21
11:00 - 11:15,0,47
11:15 - 11:30,0,45
11:30 - 11:45,0,52
11:45 - 12:00,0,52
12:00 - 12:15,0,60
12:15 - 12:30,0,64
12:30 - 12:45,0,61
12:45 - 13:00,0,66
13:00 - 13:15,0,75
13:15 - 13:30,0,80
13:30 - 13:45,0,68
13:45 - 14:00,0,60
14:00 - 14:15,0,51
14:15 - 14:30,0,57
14:30 - 14:45,0,53
14:45 - 15:00,0,55
15:00 - 15:15,0,60
15:15 - 15:30,0,74
15:30 - 15:45,0,73
15:45 - 16:00,0,74
16:00 - 16:15,0,69
16:15 - 16:30,0,71
16:30 - 16:45,0,74
16:45 - 17:00,0,67
17:00 - 17:15,0,70
17:15 - 17:30,0,76
17:30 - 17:45,0,76
17:45 - 18:00,0,80
18:00 - 18:15,0,49
18:15 - 18:30,0,45
18:30 - 18:45,0,53
18:45 - 19:00,0,57
19:00 - 19:15,0,31
19:15 - 19:30,0,34
19:30 - 19:45,0,39
19:45 - 20:00,0,39
20:00 - 20:15,0,25
20:15 - 20:30,0,37
20:30 - 20:45,0,43
20:45 - 21:00,0,40
21:00 - 21:15,0,34
21:15 - 21:30,0,40
21:30 - 21:45,0,41
21:45 - 22:00,0,48
22:00 - 22:15,0,53
22:15 - 22:30,0,43
22:30 - 22:45,0,37
22:45 - 23:00,0,35
23:00 - 23:15,0,25
23:15 - 23:30,0,19
23:30 - 23:45,0,20
23:45 - 00:00,0,16
