Time_Time,Moldova (MD)  > Ukraine (UA)_[MW],Ukraine (UA)  > Moldova (MD)_[MW]
00:00 - 01:00,211,0
01:00 - 02:00,434,0
02:00 - 03:00,552,0
03:00 - 04:00,525,0
04:00 - 05:00,504,0
05:00 - 06:00,483,0
06:00 - 07:00,554,0
07:00 - 08:00,437,0
08:00 - 09:00,469,0
09:00 - 10:00,325,0
10:00 - 11:00,326,0
11:00 - 12:00,414,0
12:00 - 13:00,224,0
13:00 - 14:00,83,0
14:00 - 15:00,155,0
15:00 - 16:00,252,0
16:00 - 17:00,162,0
17:00 - 18:00,216,0
18:00 - 19:00,221,0
19:00 - 20:00,151,0
20:00 - 21:00,227,0
21:00 - 22:00,245,0
22:00 - 23:00,235,0
23:00 - 00:00,395,0
